RUN	github.UserSimulation	usersimulation	1591034525633	 	3.0.2
USER	Create a new respository	1	START	1591034525778	1591034525778
USER	Create a new respository	2	START	1591034527312	1591034527312
REQUEST	1		GET /user/repos	1591034526710	1591034527831	OK	 
USER	Create a new respository	3	START	1591034528311	1591034528311
REQUEST	2		GET /user/repos	1591034527340	1591034527836	OK	 
USER	Create a new respository	4	START	1591034528782	1591034528782
REQUEST	3		GET /user/repos	1591034528575	1591034529090	OK	 
USER	Create a new respository	5	START	1591034529780	1591034529780
REQUEST	4		GET /user/repos	1591034528797	1591034529555	OK	 
REQUEST	2		POST /user/repos	1591034528716	1591034530320	OK	 
USER	Create a new respository	2	END	1591034527312	1591034530324
REQUEST	1		POST /user/repos	1591034528716	1591034530485	OK	 
USER	Create a new respository	1	END	1591034525778	1591034530489
USER	Create a new respository	6	START	1591034530781	1591034530781
REQUEST	5		GET /user/repos	1591034529825	1591034530485	OK	 
REQUEST	3		POST /user/repos	1591034529435	1591034531003	OK	 
USER	Create a new respository	3	END	1591034528311	1591034531005
REQUEST	4		POST /user/repos	1591034529838	1591034531366	OK	 
USER	Create a new respository	4	END	1591034528782	1591034531371
REQUEST	6		GET /user/repos	1591034530820	1591034531366	OK	 
USER	Create a new respository	7	START	1591034531780	1591034531780
REQUEST	5		POST /user/repos	1591034530856	1591034532612	OK	 
USER	Create a new respository	5	END	1591034529780	1591034532617
USER	Create a new respository	8	START	1591034532780	1591034532780
REQUEST	7		GET /user/repos	1591034531791	1591034532765	OK	 
REQUEST	6		POST /user/repos	1591034531660	1591034533329	OK	 
USER	Create a new respository	6	END	1591034530781	1591034533333
REQUEST	8		GET /user/repos	1591034533038	1591034533457	OK	 
USER	Create a new respository	9	START	1591034533781	1591034533781
REQUEST	9		GET /user/repos	1591034533802	1591034534288	OK	 
REQUEST	7		POST /user/repos	1591034533064	1591034534431	OK	 
USER	Create a new respository	7	END	1591034531780	1591034534627
USER	Create a new respository	10	START	1591034534792	1591034534792
REQUEST	8		POST /user/repos	1591034533735	1591034535274	OK	 
USER	Create a new respository	8	END	1591034532780	1591034535278
REQUEST	10		GET /user/repos	1591034534802	1591034535323	OK	 
REQUEST	9		POST /user/repos	1591034534653	1591034536496	OK	 
USER	Create a new respository	9	END	1591034533781	1591034536498
REQUEST	10		POST /user/repos	1591034535657	1591034537059	OK	 
USER	Create a new respository	10	END	1591034534792	1591034537061
