RUN	github.UserSimulation	usersimulation	1591311397843	 	3.0.2
USER	Create a new respository	1	START	1591311397978	1591311397978
USER	Create a new respository	2	START	1591311399524	1591311399524
REQUEST	2		GET /user/repos	1591311399552	1591311399654	KO	classpath:github/githubRepositories.feature:6 method GET
REQUEST	1		GET /user/repos	1591311398942	1591311399750	OK	 
USER	Create a new respository	3	START	1591311400526	1591311400526
USER	Create a new respository	4	START	1591311400995	1591311400995
REQUEST	3		GET /user/repos	1591311400547	1591311401014	OK	 
REQUEST	2		POST /user/repos	1591311400114	1591311401432	OK	 
USER	Create a new respository	2	END	1591311399524	1591311401435
REQUEST	4		GET /user/repos	1591311401009	1591311401435	OK	 
REQUEST	1		POST /user/repos	1591311400134	1591311401452	OK	 
USER	Create a new respository	1	END	1591311397978	1591311401594
USER	Create a new respository	5	START	1591311401986	1591311401986
USER	Create a new respository	6	START	1591311402986	1591311402986
REQUEST	3		POST /user/repos	1591311401190	1591311403011	OK	 
REQUEST	4		POST /user/repos	1591311401606	1591311403011	OK	 
USER	Create a new respository	4	END	1591311400995	1591311403013
USER	Create a new respository	3	END	1591311400526	1591311403013
REQUEST	5		GET /user/repos	1591311402003	1591311403011	OK	 
REQUEST	6		GET /user/repos	1591311402998	1591311403481	OK	 
USER	Create a new respository	7	START	1591311403983	1591311403983
USER	Create a new respository	8	START	1591311404995	1591311404995
REQUEST	5		POST /user/repos	1591311403232	1591311405020	OK	 
USER	Create a new respository	5	END	1591311401986	1591311405023
REQUEST	7		GET /user/repos	1591311403994	1591311405021	OK	 
REQUEST	6		POST /user/repos	1591311403660	1591311405220	OK	 
USER	Create a new respository	6	END	1591311402986	1591311405383
REQUEST	8		GET /user/repos	1591311405016	1591311405439	OK	 
USER	Create a new respository	9	START	1591311405984	1591311405984
USER	Create a new respository	10	START	1591311406995	1591311406995
REQUEST	7		POST /user/repos	1591311405387	1591311407022	OK	 
USER	Create a new respository	7	END	1591311403983	1591311407025
REQUEST	9		GET /user/repos	1591311405997	1591311407022	OK	 
REQUEST	8		POST /user/repos	1591311405798	1591311407317	OK	 
USER	Create a new respository	8	END	1591311404995	1591311407320
REQUEST	10		GET /user/repos	1591311407009	1591311407446	OK	 
REQUEST	9		POST /user/repos	1591311407172	1591311412325	KO	classpath:github/githubRepositories.feature:19 method POST
USER	Create a new respository	9	END	1591311405984	1591311412325
REQUEST	10		POST /user/repos	1591311407602	1591311412335	OK	 
USER	Create a new respository	10	END	1591311406995	1591311412336
